feature,importance
Interest_rate_spread,0.3030080383448659
Upfront_charges,0.21010681240357804
rate_of_interest,0.17320206297434237
credit_type_EQUI,0.15404519791833698
property_value,0.0321753917403941
LTV,0.0321415717095741
dtir1,0.0200555153842042
lump_sum_payment_not_lpsm,0.010136548361244273
income,0.010048222053526044
Neg_ammortization_not_neg,0.008827136835463104
co-applicant_credit_type_EXP,0.0066126047382765165
submission_of_application_to_inst,0.006428150977463322
loan_amount,0.004978744955759181
loan_type_type2,0.004202954694732281
business_or_commercial_nob/c,0.004105770442075104
credit_type_CRIF,0.003895743434322035
credit_type_EXP,0.003320556463725976
term,0.002153539977198797
loan_type_type3,0.002013837314598103
loan_purpose_p3,0.001398937909353487
loan_purpose_p4,0.0012525968234196007
Credit_Worthiness_l2,0.0009552020152669093
occupancy_type_pr,0.0007832991927145477
loan_limit_ncf,0.0006478373018797253
Gender_Joint,0.0005945859358447305
Gender_Sex Not Available,0.0005926573081114382
approv_in_adv_pre,0.00041561343948230575
Credit_Score,0.00029095056168613055
open_credit_opc,0.0002764489352903385
interest_only_not_int,0.0002606082140772102
Gender_Male,0.00017088332526781503
Region_south,0.00015134171934544434
loan_purpose_p2,0.00014242769399790733
age_45-54,0.00011441734225143894
occupancy_type_sr,8.544313187659004e-05
age_55-64,7.484785034175535e-05
age_65-74,7.327976378670909e-05
age_35-44,5.913623799491859e-05
age_>74,4.522321662831051e-05
total_units_2U,3.635002297813878e-05
Region_central,3.3116354944408676e-05
total_units_3U,2.0097037569003295e-05
Secured_by_land,1.794224793657271e-05
total_units_4U,1.530771681246816e-05
age_<25,9.679126861470064e-06
construction_type_sb,9.528538438407536e-06
Region_North-East,9.327632364602663e-06
Security_Type_direct,4.512679797267035e-06
year,0.0
